FEN,Moves,Moves_UCI,Puzzle_ID
3r1r2/7R/p2pB1k1/1p1Np3/4P3/1nP5/bPKQ1q2/3R4 w - - 0 1,Ne7+,d5e7,195CBP
8/2Q1P1pk/1p5p/p1p2p2/P5r1/1P3bP1/2q2P1P/4R1K1 w - - 0 1,Qc8,c7c8,196CBP
r2q2k1/4bp1r/1p2p1p1/p2pP1BN/b1pP2Q1/2n2N2/1P3PP1/2K1R2R b - - 0 1,Ne4,c3e4,197CBP
8/P5pk/6p1/6P1/2p2P1p/2P2QnP/3q4/6K1 b - - 0 1,Ne2+,g3e2,198CBP
r2r2k1/pppq1p1n/6pp/2QNb3/2PnP1b1/1P4P1/PB3PBP/R2R2K1 w - - 0 1,Rxd4,d1d4,199CBP
6k1/1q1b1ppp/3p4/Pp1Pp3/1r6/4QN1P/5PP1/4R1K1 w - - 0 1,Qb6,e3b6,200CBP
2b3k1/5ppp/1P1p4/1p1Pp3/1r6/5N1P/5PP1/4R1K1 w - - 0 1,Nxe5,f3e5,201CBP
r6k/p6p/b3PP2/5p2/3p4/2P3R1/qPQ4P/2K5 w - - 0 1,e7,e6e7,202CBP
2r3k1/pb2r1b1/1pp1q1Qp/3pNN2/1P1PnPP1/P3PR1P/8/5RK1 w - - 0 1,g5,g4g5,203CBP
r7/5ppk/p7/q1pQ2B1/2pR2b1/P7/1PP3PP/1K2r2R w - - 0 1,Ka2,b1a2,204CBP
r7/5ppk/p7/2pQ2B1/2p3R1/P7/KPP3PP/4q2r w - - 0 1,Bc1,g5c1,205CBP
5rrk/pp2pbR1/2p1q2p/4Pp2/2P2P2/2PB4/P5QK/6R1 w - - 0 1,Qg4,g2g4,206CBP
r1b2rk1/4bp2/p5p1/q2nB1N1/8/1B2P3/1P3PP1/1QK4R b - - 0 1,Bh3,c8h3,207CBP
R4br1/1N1k1p2/2p1p2q/4P2p/1p1P2pP/1PpB2B1/5PP1/6K1 w - - 0 1,Ra7,a8a7,208CBP
4b1rk/pp3Rb1/4p1R1/3pq2p/P7/2N5/1PP3P1/1K5Q w - - 0 1,Qc1,h1c1,209CBP
2r1N1k1/p4q2/1p3p2/3p1P1p/3P3Q/P6R/6PP/5nK1 b - - 0 1,Rc1,c8c1,210CBP
